brand,oct_view_sessions,nov_view_sessions,view_session_change,oct_purchase_sessions,nov_purchase_sessions,purchase_session_change,oct_revenue,nov_revenue,revenue_change,revenue_change_pct,oct_conversion_rate,nov_conversion_rate,conversion_rate_change,oct_cart_abandonment_pct,nov_cart_abandonment_pct,cart_abandonment_change,oct_revenue_per_view,nov_revenue_per_view,revenue_per_view_change
visavis,0.0,554.0,554.0,0.0,3.0,3.0,0.0,30.7,30.7,0.0,0.0,0.54,0.54,0.0,70.0,70.0,0.0,0.06,0.06
apollo,604.0,560.0,-44.0,7.0,4.0,-3.0,49.71,80.49,30.78,61.92,1.16,0.71,-0.45,61.11,80.0,18.89,0.08,0.14,0.06
deppa,0.0,636.0,636.0,0.0,5.0,5.0,0.0,37.96,37.96,0.0,0.0,0.79,0.79,0.0,50.0,50.0,0.0,0.06,0.06
hoco,1547.0,1317.0,-230.0,26.0,26.0,0.0,469.73,514.15,44.42,9.46,1.68,1.97,0.29,25.71,45.83,20.12,0.3,0.39,0.09
crockid,0.0,770.0,770.0,0.0,6.0,6.0,0.0,44.79,44.79,0.0,0.0,0.78,0.78,0.0,60.0,60.0,0.0,0.06,0.06
muqajankz,0.0,561.0,561.0,0.0,2.0,2.0,0.0,46.33,46.33,0.0,0.0,0.36,0.36,0.0,77.78,77.78,0.0,0.08,0.08
fabretti,0.0,818.0,818.0,0.0,3.0,3.0,0.0,48.13,48.13,0.0,0.0,0.37,0.37,0.0,70.0,70.0,0.0,0.06,0.06
jinga,1086.0,642.0,-444.0,12.0,9.0,-3.0,203.34,251.83,48.49,23.85,1.1,1.4,0.3,60.0,66.67,6.67,0.19,0.39,0.2
asics,0.0,1336.0,1336.0,0.0,1.0,1.0,0.0,51.48,51.48,0.0,0.0,0.07,0.07,0.0,90.91,90.91,0.0,0.04,0.04
welly,0.0,3193.0,3193.0,0.0,5.0,5.0,0.0,53.63,53.63,0.0,0.0,0.16,0.16,0.0,93.06,93.06,0.0,0.02,0.02
teosa,0.0,806.0,806.0,0.0,1.0,1.0,0.0,53.8,53.8,0.0,0.0,0.12,0.12,0.0,93.75,93.75,0.0,0.07,0.07
wallberry,0.0,599.0,599.0,0.0,5.0,5.0,0.0,59.97,59.97,0.0,0.0,0.83,0.83,0.0,77.27,77.27,0.0,0.1,0.1
disney,0.0,648.0,648.0,0.0,2.0,2.0,0.0,63.41,63.41,0.0,0.0,0.31,0.31,0.0,90.0,90.0,0.0,0.1,0.1
dermacol,0.0,503.0,503.0,0.0,6.0,6.0,0.0,63.86,63.86,0.0,0.0,1.19,1.19,0.0,73.91,73.91,0.0,0.13,0.13
hayali,0.0,553.0,553.0,0.0,1.0,1.0,0.0,64.35,64.35,0.0,0.0,0.18,0.18,0.0,50.0,50.0,0.0,0.12,0.12
a-case,0.0,869.0,869.0,0.0,9.0,9.0,0.0,64.89,64.89,0.0,0.0,1.04,1.04,0.0,55.0,55.0,0.0,0.07,0.07
kapika,0.0,870.0,870.0,0.0,1.0,1.0,0.0,72.05,72.05,0.0,0.0,0.11,0.11,0.0,93.75,93.75,0.0,0.08,0.08
annaanna,0.0,994.0,994.0,0.0,3.0,3.0,0.0,79.27,79.27,0.0,0.0,0.3,0.3,0.0,70.0,70.0,0.0,0.08,0.08
parkmaster,0.0,716.0,716.0,0.0,1.0,1.0,0.0,81.08,81.08,0.0,0.0,0.14,0.14,0.0,93.33,93.33,0.0,0.11,0.11
shell,0.0,899.0,899.0,0.0,4.0,4.0,0.0,81.33,81.33,0.0,0.0,0.44,0.44,0.0,90.7,90.7,0.0,0.09,0.09
darina,1247.0,1351.0,104.0,13.0,12.0,-1.0,1968.2,2050.87,82.67,4.2,1.04,0.89,-0.15,43.48,63.64,20.16,1.58,1.52,-0.06
tarkett,0.0,1840.0,1840.0,0.0,12.0,12.0,0.0,86.34,86.34,0.0,0.0,0.65,0.65,0.0,88.57,88.57,0.0,0.05,0.05
alvitek,0.0,559.0,559.0,0.0,6.0,6.0,0.0,88.79,88.79,0.0,0.0,1.07,1.07,0.0,70.0,70.0,0.0,0.16,0.16
dobrusskijfarforovyjzavod,0.0,1160.0,1160.0,0.0,1.0,1.0,0.0,91.47,91.47,0.0,0.0,0.09,0.09,0.0,75.0,75.0,0.0,0.08,0.08
brateck,0.0,568.0,568.0,0.0,4.0,4.0,0.0,93.4,93.4,0.0,0.0,0.7,0.7,0.0,87.88,87.88,0.0,0.16,0.16
gosh,0.0,552.0,552.0,0.0,7.0,7.0,0.0,93.95,93.95,0.0,0.0,1.27,1.27,0.0,73.08,73.08,0.0,0.17,0.17
carters,0.0,549.0,549.0,0.0,3.0,3.0,0.0,98.97,98.97,0.0,0.0,0.55,0.55,0.0,40.0,40.0,0.0,0.18,0.18
tramontina,0.0,1616.0,1616.0,0.0,5.0,5.0,0.0,100.18,100.18,0.0,0.0,0.31,0.31,0.0,84.85,84.85,0.0,0.06,0.06
maxvi,0.0,1130.0,1130.0,0.0,8.0,8.0,0.0,106.05,106.05,0.0,0.0,0.71,0.71,0.0,77.14,77.14,0.0,0.09,0.09
verloni,0.0,502.0,502.0,0.0,4.0,4.0,0.0,109.28,109.28,0.0,0.0,0.8,0.8,0.0,33.33,33.33,0.0,0.22,0.22
nutrilon,0.0,592.0,592.0,0.0,9.0,9.0,0.0,109.89,109.89,0.0,0.0,1.52,1.52,0.0,70.0,70.0,0.0,0.19,0.19
d-link,0.0,533.0,533.0,0.0,4.0,4.0,0.0,111.13,111.13,0.0,0.0,0.75,0.75,0.0,63.64,63.64,0.0,0.21,0.21
columbia,0.0,519.0,519.0,0.0,1.0,1.0,0.0,118.38,118.38,0.0,0.0,0.19,0.19,0.0,66.67,66.67,0.0,0.23,0.23
vinzer,0.0,783.0,783.0,0.0,2.0,2.0,0.0,122.48,122.48,0.0,0.0,0.26,0.26,0.0,88.89,88.89,0.0,0.16,0.16
inoi,2076.0,1883.0,-193.0,20.0,20.0,0.0,870.56,994.71,124.15,14.26,0.96,1.06,0.1,44.44,63.64,19.2,0.42,0.53,0.11
stayer,0.0,776.0,776.0,0.0,3.0,3.0,0.0,125.83,125.83,0.0,0.0,0.39,0.39,0.0,86.96,86.96,0.0,0.16,0.16
resanta,0.0,778.0,778.0,0.0,3.0,3.0,0.0,126.57,126.57,0.0,0.0,0.39,0.39,0.0,85.71,85.71,0.0,0.16,0.16
milavitsa,0.0,2209.0,2209.0,0.0,3.0,3.0,0.0,126.71,126.71,0.0,0.0,0.14,0.14,0.0,88.46,88.46,0.0,0.06,0.06
olmio,0.0,584.0,584.0,0.0,4.0,4.0,0.0,139.8,139.8,0.0,0.0,0.68,0.68,0.0,82.61,82.61,0.0,0.24,0.24
picard,0.0,1338.0,1338.0,0.0,2.0,2.0,0.0,146.72,146.72,0.0,0.0,0.15,0.15,0.0,80.0,80.0,0.0,0.11,0.11
continent,0.0,827.0,827.0,0.0,12.0,12.0,0.0,147.55,147.55,0.0,0.0,1.45,1.45,0.0,63.64,63.64,0.0,0.18,0.18
missha,0.0,561.0,561.0,0.0,6.0,6.0,0.0,150.07,150.07,0.0,0.0,1.07,1.07,0.0,53.85,53.85,0.0,0.27,0.27
novline,0.0,1024.0,1024.0,0.0,5.0,5.0,0.0,153.37,153.37,0.0,0.0,0.49,0.49,0.0,73.68,73.68,0.0,0.15,0.15
hb,0.0,693.0,693.0,0.0,5.0,5.0,0.0,156.88,156.88,0.0,0.0,0.72,0.72,0.0,78.26,78.26,0.0,0.23,0.23
levenhuk,0.0,823.0,823.0,0.0,4.0,4.0,0.0,159.38,159.38,0.0,0.0,0.49,0.49,0.0,75.0,75.0,0.0,0.19,0.19
wellberg,0.0,561.0,561.0,0.0,4.0,4.0,0.0,161.51,161.51,0.0,0.0,0.71,0.71,0.0,82.61,82.61,0.0,0.29,0.29
jet,1129.0,1288.0,159.0,17.0,23.0,6.0,550.46,712.46,162.0,29.43,1.51,1.79,0.28,39.29,48.89,9.6,0.49,0.55,0.06
redragon,0.0,805.0,805.0,0.0,9.0,9.0,0.0,169.71,169.71,0.0,0.0,1.12,1.12,0.0,70.97,70.97,0.0,0.21,0.21
sparta,0.0,654.0,654.0,0.0,5.0,5.0,0.0,173.76,173.76,0.0,0.0,0.76,0.76,0.0,54.55,54.55,0.0,0.27,0.27
akvaton,0.0,729.0,729.0,0.0,1.0,1.0,0.0,174.34,174.34,0.0,0.0,0.14,0.14,0.0,80.0,80.0,0.0,0.24,0.24
