brand,oct_view_sessions,nov_view_sessions,view_session_change,oct_purchase_sessions,nov_purchase_sessions,purchase_session_change,oct_revenue,nov_revenue,revenue_change,revenue_change_pct,oct_conversion_rate,nov_conversion_rate,conversion_rate_change,oct_cart_abandonment_pct,nov_cart_abandonment_pct,cart_abandonment_change,oct_revenue_per_view,nov_revenue_per_view,revenue_per_view_change
kitfort,0.0,4455.0,4455.0,0.0,35.0,35.0,0.0,4310.55,4310.55,0.0,0.0,0.79,0.79,0.0,80.23,80.23,0.0,0.97,0.97
scarlett,0.0,11302.0,11302.0,0.0,126.0,126.0,0.0,4427.13,4427.13,0.0,0.0,1.11,1.11,0.0,70.49,70.49,0.0,0.39,0.39
nika,0.0,6087.0,6087.0,0.0,93.0,93.0,0.0,4485.86,4485.86,0.0,0.0,1.53,1.53,0.0,71.9,71.9,0.0,0.74,0.74
wacom,0.0,662.0,662.0,0.0,9.0,9.0,0.0,4621.36,4621.36,0.0,0.0,1.36,1.36,0.0,71.88,71.88,0.0,6.98,6.98
kipardo,0.0,1807.0,1807.0,0.0,13.0,13.0,0.0,4666.79,4666.79,0.0,0.0,0.72,0.72,0.0,80.88,80.88,0.0,2.58,2.58
imperial,0.0,4963.0,4963.0,0.0,13.0,13.0,0.0,4711.37,4711.37,0.0,0.0,0.26,0.26,0.0,82.89,82.89,0.0,0.95,0.95
erlit,0.0,2089.0,2089.0,0.0,14.0,14.0,0.0,4722.13,4722.13,0.0,0.0,0.67,0.67,0.0,78.46,78.46,0.0,2.26,2.26
omabelle,0.0,1879.0,1879.0,0.0,3.0,3.0,0.0,4774.9,4774.9,0.0,0.0,0.16,0.16,0.0,78.57,78.57,0.0,2.54,2.54
magnetta,0.0,2969.0,2969.0,0.0,16.0,16.0,0.0,4815.91,4815.91,0.0,0.0,0.54,0.54,0.0,76.12,76.12,0.0,1.62,1.62
ergo,0.0,1645.0,1645.0,0.0,17.0,17.0,0.0,4936.78,4936.78,0.0,0.0,1.03,1.03,0.0,66.0,66.0,0.0,3.0,3.0
palit,0.0,1965.0,1965.0,0.0,19.0,19.0,0.0,5093.46,5093.46,0.0,0.0,0.97,0.97,0.0,84.92,84.92,0.0,2.59,2.59
dior,0.0,2419.0,2419.0,0.0,42.0,42.0,0.0,5097.69,5097.69,0.0,0.0,1.74,1.74,0.0,51.16,51.16,0.0,2.11,2.11
dell,0.0,4561.0,4561.0,0.0,11.0,11.0,0.0,5153.44,5153.44,0.0,0.0,0.24,0.24,0.0,76.09,76.09,0.0,1.13,1.13
hygge,0.0,909.0,909.0,0.0,6.0,6.0,0.0,5161.02,5161.02,0.0,0.0,0.66,0.66,0.0,76.92,76.92,0.0,5.68,5.68
rusgoldart,0.0,1394.0,1394.0,0.0,19.0,19.0,0.0,5303.89,5303.89,0.0,0.0,1.36,1.36,0.0,61.22,61.22,0.0,3.8,3.8
powertrac,0.0,3847.0,3847.0,0.0,130.0,130.0,0.0,5304.06,5304.06,0.0,0.0,3.38,3.38,0.0,69.12,69.12,0.0,1.38,1.38
bernina,786.0,910.0,124.0,6.0,10.0,4.0,3234.02,8564.92,5330.9,164.84,0.76,1.1,0.34,33.33,69.7,36.37,4.11,9.41,5.3
roadx,0.0,4378.0,4378.0,0.0,102.0,102.0,0.0,5377.74,5377.74,0.0,0.0,2.33,2.33,0.0,72.43,72.43,0.0,1.23,1.23
sportelite,0.0,1456.0,1456.0,0.0,12.0,12.0,0.0,5492.3,5492.3,0.0,0.0,0.82,0.82,0.0,76.47,76.47,0.0,3.77,3.77
shivaki,0.0,3715.0,3715.0,0.0,38.0,38.0,0.0,5541.61,5541.61,0.0,0.0,1.02,1.02,0.0,71.21,71.21,0.0,1.49,1.49
tcl,3924.0,5354.0,1430.0,74.0,104.0,30.0,21836.06,27388.5,5552.44,25.43,1.89,1.94,0.05,0.0,68.58,68.58,5.56,5.12,-0.44
delta,0.0,3308.0,3308.0,0.0,51.0,51.0,0.0,5560.14,5560.14,0.0,0.0,1.54,1.54,0.0,66.0,66.0,0.0,1.68,1.68
chanel,0.0,2632.0,2632.0,0.0,35.0,35.0,0.0,5609.36,5609.36,0.0,0.0,1.33,1.33,0.0,61.96,61.96,0.0,2.13,2.13
robertobravo,0.0,1770.0,1770.0,0.0,4.0,4.0,0.0,5706.09,5706.09,0.0,0.0,0.23,0.23,0.0,80.0,80.0,0.0,3.22,3.22
intel,0.0,3288.0,3288.0,0.0,23.0,23.0,0.0,5914.06,5914.06,0.0,0.0,0.7,0.7,0.0,68.06,68.06,0.0,1.8,1.8
bars,0.0,2406.0,2406.0,0.0,99.0,99.0,0.0,5987.26,5987.26,0.0,0.0,4.11,4.11,0.0,63.33,63.33,0.0,2.49,2.49
versace,0.0,4127.0,4127.0,0.0,62.0,62.0,0.0,6258.96,6258.96,0.0,0.0,1.5,1.5,0.0,70.62,70.62,0.0,1.52,1.52
element,0.0,1939.0,1939.0,0.0,50.0,50.0,0.0,6295.39,6295.39,0.0,0.0,2.58,2.58,0.0,54.13,54.13,0.0,3.25,3.25
toshiba,0.0,2384.0,2384.0,0.0,28.0,28.0,0.0,6378.54,6378.54,0.0,0.0,1.17,1.17,0.0,65.43,65.43,0.0,2.68,2.68
askona,0.0,3591.0,3591.0,0.0,38.0,38.0,0.0,6491.42,6491.42,0.0,0.0,1.06,1.06,0.0,67.8,67.8,0.0,1.81,1.81
kapsen,0.0,5448.0,5448.0,0.0,133.0,133.0,0.0,6552.02,6552.02,0.0,0.0,2.44,2.44,0.0,71.02,71.02,0.0,1.2,1.2
dewalt,0.0,4977.0,4977.0,0.0,30.0,30.0,0.0,6696.61,6696.61,0.0,0.0,0.6,0.6,0.0,83.15,83.15,0.0,1.35,1.35
alkor,0.0,2809.0,2809.0,0.0,16.0,16.0,0.0,6722.74,6722.74,0.0,0.0,0.57,0.57,0.0,72.88,72.88,0.0,2.39,2.39
vegas,0.0,3539.0,3539.0,0.0,31.0,31.0,0.0,6986.06,6986.06,0.0,0.0,0.88,0.88,0.0,71.82,71.82,0.0,1.97,1.97
smeg,0.0,2869.0,2869.0,0.0,16.0,16.0,0.0,7049.78,7049.78,0.0,0.0,0.56,0.56,0.0,64.44,64.44,0.0,2.46,2.46
belecoo,0.0,4616.0,4616.0,0.0,58.0,58.0,0.0,7051.28,7051.28,0.0,0.0,1.26,1.26,0.0,64.2,64.2,0.0,1.53,1.53
umi,0.0,1154.0,1154.0,0.0,14.0,14.0,0.0,7052.57,7052.57,0.0,0.0,1.21,1.21,0.0,64.1,64.1,0.0,6.11,6.11
tunga,0.0,7817.0,7817.0,0.0,196.0,196.0,0.0,7125.26,7125.26,0.0,0.0,2.51,2.51,0.0,72.51,72.51,0.0,0.91,0.91
montale,0.0,4942.0,4942.0,0.0,78.0,78.0,0.0,7362.31,7362.31,0.0,0.0,1.58,1.58,0.0,60.0,60.0,0.0,1.49,1.49
rals,0.0,4211.0,4211.0,0.0,13.0,13.0,0.0,7363.84,7363.84,0.0,0.0,0.31,0.31,0.0,81.94,81.94,0.0,1.75,1.75
kurzweil,0.0,870.0,870.0,0.0,7.0,7.0,0.0,7396.46,7396.46,0.0,0.0,0.8,0.8,0.0,73.08,73.08,0.0,8.5,8.5
baden,0.0,17532.0,17532.0,0.0,111.0,111.0,0.0,7936.49,7936.49,0.0,0.0,0.63,0.63,0.0,73.7,73.7,0.0,0.45,0.45
makita,0.0,4867.0,4867.0,0.0,31.0,31.0,0.0,7991.17,7991.17,0.0,0.0,0.64,0.64,0.0,70.75,70.75,0.0,1.64,1.64
gigabyte,0.0,4367.0,4367.0,0.0,38.0,38.0,0.0,8171.46,8171.46,0.0,0.0,0.87,0.87,0.0,72.26,72.26,0.0,1.87,1.87
creed,0.0,1932.0,1932.0,0.0,35.0,35.0,0.0,8195.76,8195.76,0.0,0.0,1.81,1.81,0.0,51.39,51.39,0.0,4.24,4.24
bridgestone,0.0,3543.0,3543.0,0.0,59.0,59.0,0.0,8578.1,8578.1,0.0,0.0,1.67,1.67,0.0,76.31,76.31,0.0,2.42,2.42
maxxis,0.0,5959.0,5959.0,0.0,114.0,114.0,0.0,8664.98,8664.98,0.0,0.0,1.91,1.91,0.0,76.54,76.54,0.0,1.45,1.45
goodyear,0.0,4234.0,4234.0,0.0,77.0,77.0,0.0,8667.15,8667.15,0.0,0.0,1.82,1.82,0.0,75.16,75.16,0.0,2.05,2.05
skad,0.0,6304.0,6304.0,0.0,40.0,40.0,0.0,9183.61,9183.61,0.0,0.0,0.63,0.63,0.0,83.74,83.74,0.0,1.46,1.46
gefest,0.0,7049.0,7049.0,0.0,55.0,55.0,0.0,10248.94,10248.94,0.0,0.0,0.78,0.78,0.0,74.42,74.42,0.0,1.45,1.45
tissot,0.0,3419.0,3419.0,0.0,21.0,21.0,0.0,11020.09,11020.09,0.0,0.0,0.61,0.61,0.0,68.66,68.66,0.0,3.22,3.22
yasin,0.0,4278.0,4278.0,0.0,47.0,47.0,0.0,12431.07,12431.07,0.0,0.0,1.1,1.1,0.0,70.81,70.81,0.0,2.91,2.91
kenwood,0.0,7087.0,7087.0,0.0,64.0,64.0,0.0,12507.0,12507.0,0.0,0.0,0.9,0.9,0.0,67.35,67.35,0.0,1.76,1.76
dji,0.0,2025.0,2025.0,0.0,12.0,12.0,0.0,12544.93,12544.93,0.0,0.0,0.59,0.59,0.0,73.33,73.33,0.0,6.2,6.2
gorenje,0.0,6971.0,6971.0,0.0,59.0,59.0,0.0,13040.04,13040.04,0.0,0.0,0.85,0.85,0.0,67.04,67.04,0.0,1.87,1.87
dinastia,0.0,2949.0,2949.0,0.0,35.0,35.0,0.0,13322.34,13322.34,0.0,0.0,1.19,1.19,0.0,60.67,60.67,0.0,4.52,4.52
msi,0.0,4803.0,4803.0,0.0,25.0,25.0,0.0,15082.12,15082.12,0.0,0.0,0.52,0.52,0.0,79.67,79.67,0.0,3.14,3.14
pioneer,0.0,12114.0,12114.0,0.0,129.0,129.0,0.0,15644.02,15644.02,0.0,0.0,1.06,1.06,0.0,65.96,65.96,0.0,1.29,1.29
triangle,0.0,11961.0,11961.0,0.0,323.0,323.0,0.0,15813.32,15813.32,0.0,0.0,2.7,2.7,0.0,69.9,69.9,0.0,1.32,1.32
meizu,0.0,13215.0,13215.0,0.0,135.0,135.0,0.0,16845.54,16845.54,0.0,0.0,1.02,1.02,0.0,68.09,68.09,0.0,1.27,1.27
lider,0.0,3184.0,3184.0,0.0,40.0,40.0,0.0,16979.33,16979.33,0.0,0.0,1.26,1.26,0.0,56.04,56.04,0.0,5.33,5.33
force,0.0,9603.0,9603.0,0.0,103.0,103.0,0.0,17101.59,17101.59,0.0,0.0,1.07,1.07,0.0,74.69,74.69,0.0,1.78,1.78
navien,0.0,1671.0,1671.0,0.0,30.0,30.0,0.0,17574.98,17574.98,0.0,0.0,1.8,1.8,0.0,82.76,82.76,0.0,10.52,10.52
asus,20057.0,28275.0,8218.0,215.0,226.0,11.0,110808.7,128522.63,17713.93,15.99,1.07,0.8,-0.27,13.65,68.44,54.79,5.52,4.55,-0.97
yokohama,0.0,7952.0,7952.0,0.0,185.0,185.0,0.0,17944.32,17944.32,0.0,0.0,2.33,2.33,0.0,70.49,70.49,0.0,2.26,2.26
bts,0.0,11064.0,11064.0,0.0,63.0,63.0,0.0,18212.0,18212.0,0.0,0.0,0.57,0.57,0.0,70.14,70.14,0.0,1.65,1.65
viatti,0.0,15313.0,15313.0,0.0,421.0,421.0,0.0,18694.92,18694.92,0.0,0.0,2.75,2.75,0.0,71.61,71.61,0.0,1.22,1.22
stels,0.0,15279.0,15279.0,0.0,193.0,193.0,0.0,18988.2,18988.2,0.0,0.0,1.26,1.26,0.0,73.6,73.6,0.0,1.24,1.24
yamaha,0.0,4631.0,4631.0,0.0,54.0,54.0,0.0,20788.87,20788.87,0.0,0.0,1.17,1.17,0.0,72.73,72.73,0.0,4.49,4.49
sokolov,0.0,15427.0,15427.0,0.0,157.0,157.0,0.0,23718.63,23718.63,0.0,0.0,1.02,1.02,0.0,63.15,63.15,0.0,1.54,1.54
casio,0.0,21027.0,21027.0,0.0,248.0,248.0,0.0,23936.27,23936.27,0.0,0.0,1.18,1.18,0.0,64.77,64.77,0.0,1.14,1.14
pulser,0.0,7978.0,7978.0,0.0,46.0,46.0,0.0,26439.63,26439.63,0.0,0.0,0.58,0.58,0.0,71.78,71.78,0.0,3.31,3.31
brw,0.0,18780.0,18780.0,0.0,101.0,101.0,0.0,26712.29,26712.29,0.0,0.0,0.54,0.54,0.0,63.0,63.0,0.0,1.42,1.42
sv,0.0,17445.0,17445.0,0.0,112.0,112.0,0.0,27613.14,27613.14,0.0,0.0,0.64,0.64,0.0,65.75,65.75,0.0,1.58,1.58
respect,0.0,44311.0,44311.0,0.0,354.0,354.0,0.0,28947.31,28947.31,0.0,0.0,0.8,0.8,0.0,70.91,70.91,0.0,0.65,0.65
oneplus,0.0,7028.0,7028.0,0.0,49.0,49.0,0.0,30193.43,30193.43,0.0,0.0,0.7,0.7,0.0,72.78,72.78,0.0,4.3,4.3
kivi,0.0,5171.0,5171.0,0.0,120.0,120.0,0.0,33517.31,33517.31,0.0,0.0,2.32,2.32,0.0,60.78,60.78,0.0,6.48,6.48
nokian,0.0,16912.0,16912.0,0.0,452.0,452.0,0.0,35613.96,35613.96,0.0,0.0,2.67,2.67,0.0,71.91,71.91,0.0,2.11,2.11
midea,0.0,17184.0,17184.0,0.0,294.0,294.0,0.0,45925.03,45925.03,0.0,0.0,1.71,1.71,0.0,68.56,68.56,0.0,2.67,2.67
cordiant,0.0,40232.0,40232.0,0.0,1257.0,1257.0,0.0,58372.19,58372.19,0.0,0.0,3.12,3.12,0.0,68.99,68.99,0.0,1.45,1.45
dauscher,0.0,25751.0,25751.0,0.0,300.0,300.0,0.0,63168.66,63168.66,0.0,0.0,1.17,1.17,0.0,73.78,73.78,0.0,2.45,2.45
hp,0.0,30341.0,30341.0,0.0,319.0,319.0,0.0,98365.6,98365.6,0.0,0.0,1.05,1.05,0.0,66.06,66.06,0.0,3.24,3.24
artel,0.0,39082.0,39082.0,0.0,696.0,696.0,0.0,125156.28,125156.28,0.0,0.0,1.78,1.78,0.0,69.5,69.5,0.0,3.2,3.2
lenovo,0.0,41340.0,41340.0,0.0,479.0,479.0,0.0,204500.61,204500.61,0.0,0.0,1.16,1.16,0.0,67.03,67.03,0.0,4.95,4.95
lucente,0.0,69071.0,69071.0,0.0,1085.0,1085.0,0.0,269095.97,269095.97,0.0,0.0,1.57,1.57,0.0,59.51,59.51,0.0,3.9,3.9
unknown,0.0,512314.0,512314.0,0.0,5492.0,5492.0,0.0,820740.8,820740.8,0.0,0.0,1.07,1.07,0.0,69.21,69.21,0.0,1.6,1.6
